keyword,platform,date,url,title,label
anies baswedan,detikcom,1/3/2024 21:30,https://www.detik.com/sumut/berita/d-7122504/tentang-istano-basa-pagaruyung-lokasi-awal-kegiatan-desak-anies-di-sumbar,"Tentang Istano Basa Pagaruyung, Lokasi Awal Kegiatan Desak Anies di Sumbar",0
anies baswedan,detikcom,1/3/2024 19:30,https://www.detik.com/sumut/berita/d-7123035/respons-anies-soal-desak-anies-batal-di-istano-basa-pagaruyung,Respons Anies soal 'Desak Anies' Batal di Istano Basa Pagaruyung,0
anies baswedan,detikcom,1/3/2024 18:15,https://www.detik.com/sumut/berita/d-7122672/penjelasan-bupati-tanah-datar-larang-kegiatan-desak-anies-di-istana-pagaruyung,Penjelasan Bupati Tanah Datar Larang Kegiatan Desak Anies di Istana Pagaruyung,0
anies baswedan,detikcom,1/3/2024 17:16,https://news.detik.com/foto-news/d-7122804/kampanye-di-tanah-datar-anies-bahas-usaha-lapangan-kerja,"Kampanye di Tanah Datar, Anies Bahas Usaha-Lapangan Kerja",0
anies baswedan,detikcom,1/3/2024 17:10,https://www.detik.com/sumut/berita/d-7122744/anies-minta-bansos-tak-diklaim-bantuan-pribadi-itu-uang-rakyat,Anies Minta Bansos Tak Diklaim Bantuan Pribadi: Itu Uang Rakyat,1
anies baswedan,detikcom,1/3/2024 16:57,https://news.detik.com/detiktv/d-7122769/anies-soal-wapres-bukan-ban-serep-pasangan-itu-setara,Anies soal Wapres Bukan Ban Serep: Pasangan Itu Setara,1
anies baswedan,detikcom,1/3/2024 16:20,https://news.detik.com/detiktv/d-7122621/anies-bansos-dibeli-dari-uang-pajak-jangan-diklaim-atas-nama-pribadi,"Anies: Bansos Dibeli dari Uang Pajak, Jangan Diklaim Atas Nama Pribadi",1
anies baswedan,detikcom,1/3/2024 16:00,https://www.detik.com/sumut/berita/d-7122532/tanggapan-santai-anies-soal-sejumlah-oknum-satpol-pp-di-garut-dukung-gibran,Tanggapan Santai Anies soal Sejumlah Oknum Satpol PP di Garut Dukung Gibran,0
anies baswedan,detikcom,1/3/2024 15:46,https://news.detik.com/detiktv/d-7122519/anies-lebih-baik-bangun-istana-di-nusantara-atau-jalan-di-kampung,Anies: Lebih Baik Bangun Istana di Nusantara atau Jalan di Kampung?,0
anies baswedan,detikcom,1/3/2024 15:40,https://www.detik.com/sumut/berita/d-7122448/anies-janji-reaktivitas-jalur-kereta-api-di-sumbar-yang-telah-lama-vakum,Anies Janji Reaktivitas Jalur Kereta Api di Sumbar yang Telah Lama Vakum,1
anies baswedan,detikcom,1/3/2024 15:34,https://finance.detik.com/berita-ekonomi-bisnis/d-7122485/anies-kenang-rizal-ramli-dipasok-data-buat-demo-kasus-eddy-tansil,Anies Kenang Rizal Ramli: Dipasok Data buat Demo Kasus Eddy Tansil,0
anies baswedan,detikcom,1/3/2024 14:59,https://news.detik.com/detiktv/d-7122366/tkn-prabowo-gibran-tak-merasa-tersaingi-dengan-live-tiktok-anies,TKN Prabowo-Gibran Tak Merasa Tersaingi dengan Live TikTok Anies,0
anies baswedan,detikcom,1/3/2024 14:49,https://news.detik.com/detiktv/d-7122338/rajin-live-tiktok-dan-dijuluki-abah-online-anies-cerita-peran-ayah,"Rajin Live TikTok Dan Dijuluki Abah Online, Anies Cerita Peran Ayah",1
anies baswedan,detikcom,1/3/2024 13:53,https://news.detik.com/pemilu/d-7122221/anies-kenang-rizal-ramli-konsisten-lawan-korupsi-tak-pernah-berkompromi,"Anies Kenang Rizal Ramli: Konsisten Lawan Korupsi, Tak Pernah Berkompromi",0
anies baswedan,detikcom,1/3/2024 13:37,https://news.detik.com/pemilu/d-7122152/anies-hingga-mahfud-live-tiktok-tkn-prabowo-gibran-merasa-tak-tersaingi,"Anies hingga Mahfud Live TikTok, TKN Prabowo-Gibran Merasa Tak Tersaingi",0
anies baswedan,detikcom,1/3/2024 12:29,https://news.detik.com/pemilu/d-7122000/bupati-tanah-datar-bantah-larang-acara-desak-anies-ada-aturannya,Bupati Tanah Datar Bantah Larang Acara 'Desak Anies': Ada Aturannya,0
anies baswedan,detikcom,1/3/2024 12:20,https://www.detik.com/sumut/berita/d-7121805/dikenal-basis-prabowo-anies-optimis-ranah-minang-dukung-gagasan-perubahan,"Dikenal Basis Prabowo, Anies Optimis Ranah Minang Dukung Gagasan Perubahan",1
anies baswedan,detikcom,1/3/2024 12:00,https://www.detik.com/sumut/berita/d-7121910/datang-ke-tanah-datar-anies-disambut-sorakan-presiden,"Datang ke Tanah Datar, Anies Disambut Sorakan Presiden",1
anies baswedan,detikcom,1/3/2024 11:54,https://news.detik.com/pemilu/d-7121915/timnas-amin-sebut-acara-desak-anies-di-tanah-datar-sumbar-ditolak-pemda,Timnas AMIN Sebut Acara 'Desak Anies' di Tanah Datar Sumbar Ditolak Pemda,0
anies baswedan,detikcom,1/3/2024 11:20,https://www.detik.com/sumut/berita/d-7121835/ditolak-pemda-acara-desak-anies-di-tanah-datar-dipindah,"Ditolak Pemda, Acara Desak Anies di Tanah Datar Dipindah",0
anies baswedan,detikcom,1/3/2024 10:51,https://www.detik.com/sumut/berita/d-7121792/anies-sampaikan-duka-cita-rizal-ramli-meninggal-putra-minang-seorang-pejuang,"Anies Sampaikan Duka Cita Rizal Ramli Meninggal: Putra Minang, Seorang Pejuang",0
